sheet,rowNumber,catalogTitle,matchType,firebaseId,firebaseTitle,regularPrice,salePrice,compareAtPrice,inventoryQuantity,available,beforeAfter
"Master Catalog","126","Echeveria 'Pink Crystal' &#8212; Rare Pink Variegated Premium Rosette","missing","","","319","189","319","","false",""
"Master Catalog","127","Mammillaria Zeilmanniana &#8212; Pink Crown Flowering Pincushion Cactus","missing","","","200","129","200","","false",""
"Master Catalog","128","Variegated Gollum Jade (Crassula ovata) &#8212; Rare Yellow Green Succulent","missing","","","170","99","170","","true",""
"Master Catalog","129","Bear's Paw (Cotyledon tomentosa) &#8212; Fuzzy Red Tipped Leaf Succulent","missing","","","200","129","200","","false",""
"Master Catalog","130","Exotic Wandering Jew (Tradescantia) &#8212; Fast Trailing Succulent","missing","","","119","79","119","","true",""
"Master Catalog","131","Combo 1 - Vastu","title","combo-1-vastu","Combo 1 - Vastu","249","249","249","","true","{""before"":{""price"":249,""compareAtPrice"":null,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":249,""compareAtPrice"":249,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","132","Fairy Castle Cactus (Acanthocereus tetragonus)","title","fairy-castle-cactus","Fairy Castle Cactus (Acanthocereus tetragonus)","150","99","150","","true","{""before"":{""price"":99,""compareAtPrice"":150,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":99,""compareAtPrice"":150,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","133","Cathedral Window Haworthia (Haworthia cymbiformis) &#8212; Translucent Window Leaf Low Light Succulent","missing","","","159","89","159","","true",""
"Master Catalog","134","Bunny Ear White Cactus (Opuntia) &#8212; White Polka Dot Indoor Cactus","missing","","","100","69","100","","true",""
"Master Catalog","135","Echinopsis Oxygona &#8212; Pink Flowering Globe Cactus","missing","","","189","129","189","","true",""
"Master Catalog","136","Combo 6 - The Echeveria Bundle","title","combo-6-the-echeveria-bundle","Combo 6 - The Echeveria Bundle","499","499","499","","true","{""before"":{""price"":499,""compareAtPrice"":0,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":499,""compareAtPrice"":499,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","137","Corpuscularia Lehmannii &#8212; Rare Baby Toes Window Leaf Succulent","missing","","","120","69","120","","true",""
"Master Catalog","138","Tiger Tooth Aloe (Aloe juvenna) &#8212; Spiky Clustering Mini Aloe","missing","","","140","99","140","","true",""
"Master Catalog","139","Panda Plant Cutting (Kalanchoe tomentosa) &#8212; Propagation Starter","missing","","","150","99","150","","true",""
"Master Catalog","140","Variegated String of Pearls (Senecio rowleyanus) &#8212; Rare Beaded Trailer","missing","","","119","69","119","","true",""
"Master Catalog","141","Kalanchoe fedtschenkoi &#8212; Lavender Scallop Pink Edge Succulent","missing","","","119","79","119","","true",""
"Master Catalog","142","Variegated Wandering Jew (Tradescantia) &#8212; Cream Green Striped Trailer","missing","","","119","69","119","","true",""
"Master Catalog","143","Variegated Elephant Bush &#8212; Cream Green Bonsai Succulent","missing","","","100","59","100","","true",""
"Master Catalog","144","Bunny Ear Red Cactus (Opuntia) &#8212; Red Polka Dot Decorative Cactus","missing","","","119","79","119","","true",""
"Master Catalog","145","Echeveria Chihuahuensis &#8212; Pink Tipped Blue Green Compact Rosette Succulent","missing","","","219","139","219","","true",""
"Master Catalog","146","Echeveria Tippy &#8212; Classic Pink Tipped Blue Rosette Succulent","missing","","","229","159","229","","true",""
