
================= bg (101 distinct, sorted by luma) =================
luma  sat   H   S   L   hex       xN   sample files
  61  0.38  142  23  23  #2c4736   x1    cart/CartClient.tsx
  61  0.3   149  18  23  #30453a   x1    checkout/CheckoutClient.tsx
  61  0.32  145  19  23  #2f4538   x2    product/ImageGallery.tsx
  62  0.3   146  18  23  #31463a   x4    auth/OrderLineItemsClient.tsx
  66  0.58  147  41  23  #235439   x1    admin/AdminDashboard.tsx
  68  0.58  151  41  24  #24563e   x10   admin/AdminArticleEditor.tsx
  70  0.41  143  26  26  #31533e   x1    admin/AdminDashboard.tsx
  71  0.24  145  14  27  #3b4e43   x4    [handle]/page.tsx
  71  0.33  145  19  26  #365041   x1    order-placed/OrderPlacedStatusCard.tsx
  72  0.37  139  23  27  #35543f   x3    admin/AdminDashboard.tsx
  73  0.28  146  17  27  #3a5144   x1    [order]/page.tsx
  73  0.2   142  11  28  #3f4f45   x3    order-placed/OrderPlacedStatusCard.tsx
  73  0.68    9  52  33  #7e3528   x1    cart/CartClient.tsx
  73  0.3   142  18  27  #395242   x1    layout/NewsletterSignup.tsx
  74  0.49  143  33  27  #2e5b3f   x1    home/InstagramFeed.tsx
  75  0.2   150  11  29  #415149   x4    privacy-policy/page.tsx
  75  0.22  140  12  29  #405246   x1    cart/CartClient.tsx
  75  0.23  145  13  28  #3f5247   x4    layout/NewsletterSignup.tsx
  76  0.67    0  51  37  #8f2f2f   x1    order-tracker/OrderTrackerClient.tsx
  77  0.19  146  11  29  #43534a   x2    refund-policy/page.tsx
  77  0.57  152  40  27  #296046   x1    admin/AdminDashboard.tsx
  77  0.42  150  26  28  #355b48   x1    product/ProductInfo.tsx
  78  0.56  137  38  28  #2c633c   x2    admin/AdminArticleEditor.tsx
  80  0.65  138  49  28  #256b3a   x8    admin/AdminArticleEditor.tsx
  81  0.23  144  13  31  #44584c   x10   admin/AdminArticleEditor.tsx
  81  0.64    5  47  37  #8a3a32   x1    reviews/ProductReviewsSection.tsx
  82  0       0   0  32  #525252   x1    contact/page.tsx
  84  0.19  148  10  32  #495a51   x11   shipping-returns/page.tsx
  84  0.24  215  14  34  #4b5563   x1    product/ProductFaqs.tsx
  85  0.19  145  10  32  #4a5b51   x1    [order]/page.tsx
  85  0.19  148  10  32  #4a5b52   x1    shipping-returns/page.tsx
  87  0.19  150  11  33  #4b5d54   x1    checkout/CheckoutClient.tsx
  88  0.17  142   9  34  #4e5e54   x3    [order]/page.tsx
  88  0.31  145  19  33  #446351   x1    cart/CartClient.tsx
  88  0.19  143  10  34  #4d5f54   x1    cart/CartClient.tsx
  91  0.18  148  10  35  #506158   x3    privacy-policy/page.tsx
  92  0.16  139   9  35  #526257   x6    admin/AdminArticleEditor.tsx
  97  0.13  129   7  37  #59665b   x1    reviews/ProductReviewsSection.tsx
  99  0.15  143   8  38  #59695f   x1    shipping-returns/page.tsx
 100  0.17  140   9  38  #596b5f   x1    admin/AdminDashboard.tsx
 101  0.14  140   8  39  #5c6b61   x3    admin/AdminBlogAutomation.tsx
 102  0.1   125   5  39  #5f6a60   x3    auth/OrderLineItemsClient.tsx
 104  0.13  133   7  40  #5f6d62   x1    reviews/ProductReviewsSection.tsx
 107  0.16  143   9  41  #607267   x3    privacy-policy/page.tsx
 108  0.16  137   8  42  #617366   x6    admin/AdminDashboard.tsx
 109  0.29  146  17  41  #577a66   x2    contact/page.tsx
 110  0.79   37  66  35  #96691f   x4    admin/AdminArticleEditor.tsx
 112  0.14  145   8  43  #65766c   x1    cart/CartClient.tsx
 112  0.54    0  39  52  #b45353   x2    order-tracker/OrderTrackerClient.tsx
 113  0.1   115   5  44  #6b766a   x15   [order]/page.tsx
 113  0.13  140   7  44  #68776d   x17   admin/AdminArticleEditor.tsx
 113  0.56    5  40  50  #b3574e   x9    admin/AdminArticleEditor.tsx
 113  0.11   92   6  43  #6e7568   x1    auth/OrdersListClient.tsx
 114  0.16  220   9  46  #6b7280   x3    product/ProductFaqs.tsx
 114  0.12   86   6  43  #6f7567   x1    product/RecommendedProducts.tsx
 115  0.12  137   6  44  #6a786e   x1    [order]/page.tsx
 117  0.15  140   8  45  #6a7c70   x5    [order]/page.tsx
 120  0.19  138  10  46  #698170   x1    admin/AdminDashboard.tsx
 122  0.12  140   6  47  #718076   x33   admin/AdminArticleEditor.tsx
 122  0.15  123   8  47  #6e826f   x4    admin/AdminAutomationSection.tsx
 124  0.09   85   5  47  #7a7f73   x1    contact/page.tsx
 129  0.11   96   6  49  #7c8576   x1    product/RecommendedProducts.tsx
 130  0.12  139   6  50  #78887d   x10   admin/AdminArticleEditor.tsx
 132  0.11  140   6  51  #7b8a80   x2    auth/OrderLineItemsClient.tsx
 135  0.15  137   9  52  #7a8f80   x1    admin/AdminBlogSection.tsx
 135  0.09  145   5  52  #7f8b84   x1    cart/CartClient.tsx
 137  0.88   26  79  49  #e2721a   x1    cart/CartClient.tsx
 140  0.04   84   2  54  #8b8d88   x1    reviews/OrderProductReviewBox.tsx
 147  0.82  142  70  49  #25d366   x1    contact/page.tsx
 156  0.12  141  10  60  #8fa396   x11   admin/AdminBlogAutomation.tsx
 162  0.11  218  11  65  #9ca3af   x1    product/ProductFaqs.tsx
 163  0.08  141   7  63  #9aa89f   x1    admin/AdminArticleEditor.tsx
 163  0.43    6  61  69  #e08a80   x1    admin/AdminBlogAutomation.tsx
 167  0.11  219  12  67  #a1a8b5   x1    product/ProductFaqs.tsx
 170  0.66   41  62  56  #d4a848   x1    admin/AdminBlogAutomation.tsx
 172  0.25  126  27  65  #8fbf94   x4    [order]/page.tsx
 174  0.07  135   7  68  #a7b3aa   x4    admin/AdminAutomationSection.tsx
 181  0.1   136  12  70  #a9bcae   x1    admin/AdminBlogAutomation.tsx
 189  0.24  136  34  72  #9fd0ac   x5    admin/AdminBlogAutomation.tsx
